Trevor Moore,Los Angeles Kings,Center,6
Jujhar Khaira,Edmonton Oilers,Left Wing,6
Evan Rodrigues,Pittsburgh Penguins,Center,6
Chris Wagner,Boston Bruins,Right Wing,6
Nicolas Roy,Vegas Golden Knights,Center,5
Curtis Lazar,Buffalo Sabres,Center,5
Gaetan Haas,Edmonton Oilers,Center,5
Tobias Rieder,Calgary Flames,Center,4
Nathan Gerbe,Columbus Blue Jackets,Center,4
Michael Dal Colle,New York Islanders,Left Wing,4
Paul Byron,Montreal Canadiens,Left Wing,4
Adam Lowry,Winnipeg Jets,Center,4
Vladimir Tarasenko,St. Louis Blues,Right Wing,3
Jamie Oleksiak,Dallas Stars,Defensemen,3
Colin Blackwell,Nashville Predators,Center,3
Drake Batherson,Ottawa Senators,Right Wing,3
Andrew Shaw,Chicago Blackhawks,Right Wing,3
Jayce Hawryluk,Ottawa Senators,Right Wing,3
Travis Boyd,Washington Capitals,Center,3
Luca Sbisa,Winnipeg Jets,Defensemen,2
Dmitry Kulikov,Winnipeg Jets,Defensemen,2
Slater Koekkoek,Chicago Blackhawks,Defensemen,1
Dylan DeMelo,Winnipeg Jets,Defensemen,0
Stefan Noesen,San Jose Sharks,Right Wing,7
Luke Glendening,Detroit Red Wings,Center,6
Christian Fischer,Arizona Coyotes,Right Wing,6
Greg McKegg,New York Rangers,Center,5
Caleb Jones,Edmonton Oilers,Defensemen,4
Frans Nielsen,Detroit Red Wings,Center,4
Dmytro Timashov,Detroit Red Wings,Left Wing,4
Jordan Kyrou,St. Louis Blues,Center,4
Casey Mittelstadt,Buffalo Sabres,Center,4
Kevin Rooney,New Jersey Devils,Center,4
Erik Gudbranson,Anaheim Ducks,Defensemen,4
Markus Nutivaara,Columbus Blue Jackets,Defensemen,3
Joakim Nygard,Edmonton Oilers,Left Wing,3
Brayden McNabb,Vegas Golden Knights,Defensemen,2
Radim Simek,San Jose Sharks,Defensemen,2
Ryan Murray,Columbus Blue Jackets,Defensemen,2
Jonas Siegenthaler,Washington Capitals,Defensemen,2
Taylor Fedun,Dallas Stars,Defensemen,2
Jacob de la Rose,St. Louis Blues,Left Wing,2
Jay Bouwmeester,St. Louis Blues,Defensemen,1
Patrik Nemeth,Detroit Red Wings,Defensemen,1
Josh Manson,Anaheim Ducks,Defensemen,1
Adam Pelech,New York Islanders,Defensemen,1
Kris Russell,Edmonton Oilers,Defensemen,0
Jesperi Kotkaniemi,Montreal Canadiens,Center,6
